,date,closing,adjusted,evolution,quantity,volume
0,01/12/2022,119.9,119.9,0.76,2038.0,242234.5
1,30/11/2022,119.0,119.0,-0.83,3646.0,431054.35
2,29/11/2022,120.0,120.0,-2.44,1916.0,231258.6
3,28/11/2022,123.0,123.0,-0.69,14.0,1698.0
4,25/11/2022,123.85,123.85,-0.12,2694.0,333126.3
5,24/11/2022,124.0,124.0,3.25,3790.0,464733.95
6,23/11/2022,120.1,120.1,0.08,220.0,26514.5
7,22/11/2022,120.0,120.0,-1.64,1555.0,186620.0
8,21/11/2022,122.0,122.0,1.75,5686.0,690428.2
9,17/11/2022,119.9,119.9,-0.08,1106.0,132579.95
10,16/11/2022,120.0,120.0,0.84,3191.0,373286.3
11,15/11/2022,119.0,119.0,3.48,621.0,74473.5
12,14/11/2022,115.0,115.0,0.0,5960.0,680499.05
13,11/11/2022,115.0,115.0,-2.54,108688.0,12515209.6
14,10/11/2022,118.0,118.0,-3.24,15178.0,1813357.5
15,09/11/2022,121.95,121.95,0.58,646.0,78246.75
16,08/11/2022,121.25,121.25,-1.42,1366.0,165845.65
17,07/11/2022,123.0,123.0,-3.11,2116.0,260207.0
18,04/11/2022,126.95,126.95,-0.04,5483.0,694090.5
19,03/11/2022,127.0,127.0,2.46,6891.0,856797.4
20,02/11/2022,123.95,123.95,0.77,321.0,39231.05
21,01/11/2022,123.0,123.0,-1.6,262.0,32218.35
22,31/10/2022,125.0,125.0,-1.57,564.0,69777.1
23,28/10/2022,127.0,127.0,2.17,4038.0,507960.55
24,27/10/2022,124.3,124.3,-0.16,3.0,372.9
25,26/10/2022,124.5,124.5,0.0,2008.0,249734.0
26,25/10/2022,124.5,124.5,0.4,935.0,116280.0
27,24/10/2022,124.0,124.0,-1.51,735.0,90401.15
28,21/10/2022,125.9,125.9,3.2,10808.0,1332803.95
29,20/10/2022,122.0,122.0,-3.17,11579.0,1432165.7
30,19/10/2022,126.0,126.0,-1.56,2576.0,325543.4
31,18/10/2022,128.0,128.0,-0.39,1542.0,197403.5
32,17/10/2022,128.5,128.5,-1.15,5839.0,751297.2
33,14/10/2022,130.0,130.0,-1.52,6080.0,790614.95
34,13/10/2022,132.0,132.0,-1.35,801.0,104272.3
35,12/10/2022,133.8,133.8,0.6,1426.0,186962.35
36,11/10/2022,133.0,133.0,0.0,1132.0,149490.1
37,07/10/2022,133.0,133.0,0.68,1471.0,195804.7
38,06/10/2022,132.1,132.1,-0.68,675.0,88690.25
39,05/10/2022,133.0,133.0,-2.21,216.0,28717.4
40,04/10/2022,136.0,136.0,3.66,585.0,79814.8
41,03/10/2022,131.2,131.2,-2.81,1301.0,171420.0
42,30/09/2022,135.0,135.0,0.0,9126.0,1228545.75
43,29/09/2022,135.0,135.0,3.85,42950.0,5866097.35
44,28/09/2022,130.0,130.0,-2.26,14657.0,1904505.5
45,27/09/2022,133.0,133.0,-2.21,16295.0,2155667.45
46,26/09/2022,136.0,136.0,-0.37,30120.0,4101830.4
47,23/09/2022,136.5,136.5,-1.76,399.0,54507.2
48,22/09/2022,138.95,138.95,2.17,13968.0,1918640.8
49,21/09/2022,136.0,136.0,-0.44,2188.0,295029.1
50,20/09/2022,136.6,136.6,0.29,3887.0,528892.4
51,19/09/2022,136.2,136.2,-1.3,1843.0,251490.2
52,16/09/2022,138.0,138.0,1.4,6014.0,824804.3
53,15/09/2022,136.1,136.1,0.0,1558.0,211903.7
54,14/09/2022,136.1,136.1,0.07,173.0,23469.0
55,13/09/2022,136.0,136.0,-0.37,1981.0,270124.05
56,12/09/2022,136.5,136.5,0.0,243.0,33158.7
57,09/09/2022,136.5,136.5,-0.36,4510.0,615634.6
58,08/09/2022,137.0,137.0,0.0,2333.0,319864.0
59,07/09/2022,137.0,137.0,0.29,1400.0,191806.5
60,06/09/2022,136.6,136.6,-1.01,1501.0,206322.0
61,05/09/2022,138.0,138.0,0.73,2961.0,408238.65
62,02/09/2022,137.0,137.0,1.86,7509.0,1028076.15
63,01/09/2022,134.5,134.5,-0.41,1714.0,230232.1
64,31/08/2022,135.05,135.05,-0.33,3227.0,439505.7
65,30/08/2022,135.5,135.5,-1.06,1386.0,187533.1
66,29/08/2022,136.95,136.95,-0.04,1172.0,158433.35
67,26/08/2022,137.0,137.0,-0.69,259.0,35161.85
68,25/08/2022,137.95,137.95,0.0,515.0,70082.1
69,24/08/2022,137.95,137.95,-0.68,581.0,79444.75
70,23/08/2022,138.9,138.9,-0.07,872.0,119576.85
71,22/08/2022,139.0,139.0,-0.5,2730.0,380581.65
72,19/08/2022,139.7,139.7,0.29,1792.0,249147.75
73,18/08/2022,139.3,139.3,0.0,660.0,91749.6
74,17/08/2022,139.3,139.3,3.19,10549.0,1461294.5
75,16/08/2022,135.0,135.0,-0.11,714.0,96528.1
76,15/08/2022,135.15,135.15,0.11,286.0,38857.0
77,12/08/2022,135.0,135.0,-1.1,1067.0,144913.0
78,11/08/2022,136.5,136.5,2.55,1236.0,167280.25
79,10/08/2022,133.1,133.1,-1.26,335.0,44780.5
80,09/08/2022,134.8,134.8,-0.15,1498.0,198297.0
81,08/08/2022,135.0,135.0,0.0,210.0,28094.4
82,05/08/2022,135.0,135.0,0.11,460.0,61640.9
83,04/08/2022,134.85,134.85,4.74,1470.0,194974.75
84,03/08/2022,134.25,134.25,-1.94,3807.0,511201.85
85,02/08/2022,136.9,136.9,2.16,2048.0,274061.5
86,01/08/2022,134.0,134.0,-1.47,2921.0,393466.95
87,29/07/2022,136.0,136.0,-1.38,2655.0,361363.95
88,28/07/2022,137.9,137.9,-0.07,254.0,34845.7
89,27/07/2022,138.0,138.0,-0.5,257.0,35464.6
90,26/07/2022,138.7,138.7,2.74,1615.0,222095.9
91,25/07/2022,135.0,135.0,2.27,839.0,112796.35
92,22/07/2022,132.0,132.0,-2.22,6103.0,805606.8
93,21/07/2022,135.0,135.0,-2.84,1844.0,250145.9
94,20/07/2022,138.95,138.95,-0.68,2871.0,399897.3
95,19/07/2022,139.9,139.9,3.63,8015.0,1117842.25
96,18/07/2022,135.0,135.0,3.89,2608.0,346582.1
97,15/07/2022,129.95,129.95,1.52,269.0,34610.9
98,14/07/2022,128.0,128.0,-1.5,937.0,119625.75
99,13/07/2022,129.95,129.95,1.25,1107.0,143388.05
100,12/07/2022,128.35,128.35,0.27,251.0,32105.25
101,08/07/2022,128.0,128.0,1.43,931.0,118331.95
102,07/07/2022,126.2,126.2,-1.41,9075.0,1144199.35
103,06/07/2022,128.0,128.0,-1.31,2861.0,358318.1
104,05/07/2022,129.7,129.7,3.8,3351.0,425618.2
105,04/07/2022,124.95,124.95,-0.99,4303.0,532114.5
106,01/07/2022,126.2,126.2,-5.11,11718.0,1507631.95
107,30/06/2022,133.0,133.0,-2.21,4224.0,562364.95
108,29/06/2022,136.0,136.0,-1.45,4393.0,599143.0
109,28/06/2022,138.0,138.0,3.68,2065.0,279664.95
110,27/06/2022,133.1,133.1,-4.24,9013.0,1207318.75
111,24/06/2022,139.0,139.0,1.46,13162.0,1798035.3
112,23/06/2022,137.0,137.0,-0.72,2488.0,341629.9
113,22/06/2022,138.0,138.0,-1.43,3213.0,444408.55
114,21/06/2022,140.0,140.0,1.45,17088.0,2381318.45
115,20/06/2022,138.0,138.0,0.0,4340.0,600670.45
116,17/06/2022,138.0,138.0,-1.43,20210.0,2813343.4
117,16/06/2022,140.0,140.0,0.0,1346.0,186184.15
118,15/06/2022,140.0,140.0,1.38,11039.0,1532549.35
119,14/06/2022,138.1,138.1,-3.43,13637.0,1938976.5
120,13/06/2022,143.0,143.0,-0.03,4513.0,647569.6
121,10/06/2022,143.05,143.05,-1.34,3482.0,498864.0
122,09/06/2022,145.0,145.0,-1.36,108879.0,15556804.3
