,date,closing,adjusted,evolution,quantity,volume
0,01/12/2022,45.0,45.0,1.12,1108.0,49834.42
1,30/11/2022,44.5,44.5,-1.09,2.0,88.9
2,29/11/2022,44.99,44.99,1.1,92.0,4110.16
3,28/11/2022,44.5,44.5,-1.09,40.0,1780.0
4,25/11/2022,44.99,44.99,0.04,8.0,359.92
5,24/11/2022,44.97,44.97,0.04,208.0,9219.74
6,23/11/2022,44.95,44.95,0.9,95.0,4242.25
7,22/11/2022,44.55,44.55,-0.89,100.0,4455.0
8,21/11/2022,44.95,44.95,0.0,601.0,27014.95
9,17/11/2022,44.95,44.95,0.0,0.0,0.0
10,16/11/2022,44.95,44.95,0.11,50.0,2247.5
11,15/11/2022,44.9,44.9,-0.95,131.0,5891.56
12,14/11/2022,45.33,45.33,2.79,291.0,12987.46
13,11/11/2022,44.1,44.1,0.0,0.0,0.0
14,10/11/2022,44.1,44.1,-2.71,88.0,3874.68
15,09/11/2022,45.33,45.33,2.56,65.0,2932.35
16,08/11/2022,44.2,44.2,0.0,0.0,0.0
17,07/11/2022,44.2,44.2,-2.54,3.0,134.9
18,04/11/2022,45.35,45.35,0.0,321.0,14556.09
19,03/11/2022,45.35,45.35,-0.74,51.0,2312.98
20,02/11/2022,45.69,45.69,0.64,3.0,137.13
21,01/11/2022,45.4,45.4,3.18,200.0,9090.0
22,31/10/2022,44.0,44.0,-2.44,129.0,5679.22
23,28/10/2022,45.1,45.1,-0.88,306.0,13810.6
24,27/10/2022,45.5,45.5,-0.78,5.0,227.5
25,26/10/2022,45.86,45.86,-0.2,1082.0,47720.12
26,25/10/2022,45.95,45.95,0.02,241.0,11068.36
27,24/10/2022,45.94,45.94,0.09,168.0,7636.96
28,21/10/2022,45.9,45.9,-0.74,34.0,1561.36
29,20/10/2022,46.24,46.24,0.0,0.0,0.0
30,19/10/2022,46.24,46.24,5.04,15.0,693.6
31,18/10/2022,44.02,44.02,-1.08,804.0,35652.0
32,17/10/2022,44.5,44.5,-4.79,100.0,4450.0
33,14/10/2022,46.74,46.74,0.43,14.0,654.56
34,13/10/2022,46.54,46.54,3.42,108.0,4866.61
35,12/10/2022,45.0,45.0,-3.18,295.0,13431.3
36,11/10/2022,46.48,46.48,-0.26,17.0,772.64
37,07/10/2022,46.6,46.6,5.91,897.0,39963.19
38,06/10/2022,44.0,44.0,-3.3,2011.0,88527.34
